well id,Lease Name,Well Number,Operator compnay,County,Landing Zone,Surf Lat,Surf Long,BH Lat,BH Long,Date Spud,Lateral Len (ft),Date Completed,Total Fluid (bbl),Total Proppant (lb),"Well Spacing, ft",Well Name,Fluid (bbl/ft),Prop (lb/ft),Avg PPG,"Oil EUR, Mbbl","Gas EUR, MMcf"
4.24614E+13,BROOK N-11B,2H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP C,31.50485562,-101.8718769,31.48363487,-101.8638801,10/10/2015,7521,2/2/2016,12748463,10274000,,BROOK N-11B 2H,40,1366,0.81,,
4.24614E+13,K-BIRD 12-13,4405H,PIONEER NATURAL RESOURCES USA INC,UPTON,WOLFCAMP,31.43203333,-101.7887417,31.45899363,-101.7972309,8/17/2015,9629,11/26/2015,16048416,15370000,,K-BIRD 12-13 4405H,40,1596,0.96,,
4.24614E+13,CC 4132B,1HM,PRIME OPERATING CO,UPTON,WCMP B,31.54557278,-101.9790203,31.56733871,-101.9858463,7/24/2015,7261,9/26/2015,6352536,20140000,,CC 4132B 1HM,21,2774,3.17,,
4.24614E+13,BROOK N-20A,1H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.51685498,-101.8460488,31.4962268,-101.842009,11/25/2015,7325,6/4/2016,16479732,12744000,,BROOK N-20A 1H,54,1740,0.77,,
4.24614E+13,BROOK N-20B,2H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.51688847,-101.8459094,31.49687745,-101.8392049,12/1/2015,7325,5/30/2016,16534122,12772000,,BROOK N-20B 2H,54,1744,0.77,,
4.24614E+13,SKAGGS 8,2808H,PIONEER NATURAL RESOURCES USA INC,UPTON,SPBYL SH,31.60916639,-102.0020003,31.62418901,-102.006824,9/2/2015,5091,11/14/2015,7790536,8144000,,SKAGGS 8 2808H,36,1600,1.05,275,241
4.24614E+13,XBC GIDDINGS ESTATE,2174H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.51538333,-102.0081852,31.48922882,-102.0025607,12/30/2017,9982,5/1/2018,23906296,25096000,,XBC GIDDINGS ESTATE 2174H,57,2514,1.05,,
4.24614E+13,MARIE,1802BH,COG OPERATING LLC,UPTON,WCMP B,31.4619,-102.0605,31.446137,-102.0541267,10/31/2015,5025,5/21/2016,6811656,5492000,,MARIE 1802BH,32,1093,0.81,,
4.24614E+13,BROOK B-13C,3H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.39992036,-101.8670261,31.42755088,-101.8729841,3/29/2016,9604,7/17/2016,22045604,15958000,,BROOK B-13C 3H,55,1662,0.72,,
4.24614E+13,BROOK B-13C,3H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.39992036,-101.8670261,31.40462308,-101.8657801,3/5/2016,,3/28/2016,,,,BROOK B-13C 3H,,,,,
4.24614E+13,BROOK Y-6C,3H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.39962725,-101.8703663,31.3705755,-101.8624476,1/11/2016,10202,7/19/2016,22933384,16968000,,BROOK Y-6C 3H,54,1663,0.74,,
