Well_UID,WellPadID
42-317415200000,42-317-41519
42-329426350000,42-329-42624
42-383403160000,42-383-40316
42-461409140000,42-461-40915
42-329426710000,42-329-41648
42-173379410000,42-173-37209
42-227397510000,42-227-39751
42-227397690000,42-227-39764
42-329428240000,42-329-42826
42-317416200000,42-317-41655
42-329428220000,42-329-42822
42-383403840000,42-383-40114
42-227397790000,42-227-39782
42-329428880000,42-329-42890
42-317417940000,42-317-41806
42-227398100000,42-227-39807
42-227398090000,42-227-39807
42-383404260000,42-383-40429
42-383404730000,42-383-39894
42-329429980000,42-329-42394
42-329429350000,42-329-42934
42-227399260000,42-227-39926
42-317419950000,42-317-41992
42-003479560000,42-003-47956
42-461410790000,42-461-41080
42-173380890000,42-173-38089
42-227400300000,42-227-40027
42-003480280000,42-003-48016
42-227400810000,42-227-40081
42-329431710000,42-329-43169
42-383405850000,42-383-40586
42-461411640000,42-461-41164
42-317423200000,42-317-42318
42-461412020000,42-461-41201
42-383406460000,42-383-40646
42-461412210000,42-461-41218
42-329434490000,42-329-43449
42-317423990000,42-317-42400
42-115338000000,42-115-33800
42-173381800000,42-173-38179
42-329435870000,42-329-41351
42-003481400000,42-003-48139
42-329436370000,42-329-43651
42-461412780000,42-461-41283
42-329436760000,42-329-43681
42-383407320000,42-383-40730
42-383408040000,42-383-40801
42-227404400000,42-227-40440
42-227404600000,42-227-40459
42-227404920000,42-227-40489
42-317427390000,42-317-42738
42-173382630000,42-173-38265
42-227405110000,42-227-40512
42-329439370000,42-329-43941
42-003482160000,42-003-48216
42-317428230000,42-317-42829
42-329440130000,42-329-43162
42-033325130100,42-033-32513
42-461414390000,42-461-41438
42-227405410000,42-227-40542
42-227405400000,42-227-40540
42-461414570000,42-461-41449
42-383408490000,42-383-40846
42-317428980000,42-317-42897
42-317429430000,42-317-42943
42-317430410000,42-317-43042
42-461415210000,42-461-41180
42-003481790000,42-003-48177
42-383409140000,42-383-40912
42-173383820000,42-173-38350
42-329444800000,42-329-44476
42-227408630000,42-227-40863
42-317433180000,42-317-43318
42-461417240000,42-461-41722
42-227410640000,42-227-41065
42-003473800000,42-003-47378
42-033324000000,42-033-32400
42-317393460001,42-317-38876
42-383385610001,42-383-38560
42-329394310001,42-329-39431
42-003306810100,42-003-30681
42-105420010000,42-105-42001
42-105420960000,42-105-41901
42-105421020000,42-105-41901
42-227372410000,42-227-37241
42-461389700000,42-461-38978
42-461396230000,42-461-39624
42-227372260000,42-227-37226
42-003469570000,42-003-46955
42-317392270000,42-317-39227
42-383389620000,42-383-38962
42-461400180000,42-461-40016
42-461400800000,42-461-40081
42-383385720000,42-383-37669
42-383396030000,42-383-39470
42-329391700000,42-329-39167
42-235356370000,42-235-35638
42-383394820000,42-383-39482
42-329391650000,42-329-39162
42-329389260000,42-329-38926
42-383391280000,42-383-39126
42-235353660000,42-235-35366
42-235353920000,42-235-35391
42-033323900000,42-033-32384
