Well_ID,TotalOrganicCarbon_WTPCT
42-329420580000,1.614710796
42-173377680000,2.360983935
42-329420830000,1.634128582
42-329420080000,1.7827823
42-461407030000,2.492459096
42-317411440000,1.534822053
42-227394300000,1.512782138
42-003477120000,1.955320932
42-383401250000,2.078506406
42-317412420000,1.883021092
42-227394900000,1.642512556
42-173378190000,1.858430468
42-105422060000,1.9944402
42-317413150000,2.10920905
42-173378410000,1.928647354
42-173378470000,2.000799148
42-329423540000,1.324091
42-317413100000,1.547163727
42-317413770000,0.9821304
42-317413470000,1.973289914
42-135435880000,1.173550724
42-235362660000,2.137239452
42-461408430000,2.214035775
42-329424550000,2.308669356
42-317414230000,1.972256278
42-329425040000,0.893237068
42-383402840000,1.587388873
42-033324690000,1.640227307
42-173379040000,2.390754788
42-329425440000,1.887943736
42-329425560000,1.9415896
42-317414850000,2.643377218
42-317414870000,1.42370825
42-173379130000,1.572161
42-317414970000,1.635212977
42-003478140000,1.595939665
42-329426020000,1.836591988
42-317415140000,1.950956795
42-329424910000,2.030516195
42-329425150000,1.499570445
42-317415630000,1.39680615
42-329425860000,1.864171878
42-329426640000,1.813760111
42-461409260000,1.778243953
42-227396430000,2.275093522
42-461409330000,1.689405821
42-235363190000,2.213973368
42-329427290000,1.445526
42-173379580000,2.225206852
42-317417850000,1.255808779
42-383404080000,1.899644762
42-461409840000,1.7845384
42-329428940000,1.814924817
42-227398260000,1.864931529
42-317419280000,2.1275528
42-173380460000,1.1770984
42-227398760000,2.335578318
42-317419930000,2.279996757
42-173380820000,2.089777365
42-173380880000,1.496649464
42-227400000000,2.539582543
42-461410950000,1.991398576
42-173380920000,1.828401552
42-317420000000,2.113452776
42-317421040000,1.7982627
42-383405470000,1.9899955
42-317421590000,1.675581539
42-317420670000,2.149599795
42-329432240000,1.399694913
42-461411460000,1.760225906
